OID,Value
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.300,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.301,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.302,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.305,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.312,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.326,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.327,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.328,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.329,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.330,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.331,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.334,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.341,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.355,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.356,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.357,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.358,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.359,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.360,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.363,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.370,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.384,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.385,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.386,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.387,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.388,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.389,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.392,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.399,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.413,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.414,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.415,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.416,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.417,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.418,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.421,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.428,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.442,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.443,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.444,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.445,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.446,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.447,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.450,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.457,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.471,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.472,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.473,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.474,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.475,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.476,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.479,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.486,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.500,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.501,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.502,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.503,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.504,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.505,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.508,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.515,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.529,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.530,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.531,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.532,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.533,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.534,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.537,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.544,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.558,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.559,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.560,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.561,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.562,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.563,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.566,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.573,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.587,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.588,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.589,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.590,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.591,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.592,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.595,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.602,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.616,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.617,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.618,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.619,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.620,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.621,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.624,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.631,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.645,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.646,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.647,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.648,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.649,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.650,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.653,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.660,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.674,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.675,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.676,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.677,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.678,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.679,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.682,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.689,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.703,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.704,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.705,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.706,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.707,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.708,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.711,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.718,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.732,-100
SNMPv2-SMI::enterprises.2606.7.4.2.2.1.7.2.733,-100
